id,type,statement,source_evidence,probability,impact,severity,mitigation,owner,status
A-001,Assumption,"Spring PetClinic is representative of the selected Java/Spring Boot monolith workload.","Module 1 selected application",Medium,Medium,Medium,"Confirm workload representativeness with assessment reviewer or app owner.",Migration architect,Open
A-002,Assumption,"The local workstation baseline is acceptable as an on-prem VM simulation for hands-on evidence.","docs/01.01-current-state-assessment.md",High,Low,Low,"Replace with actual VM facts in enterprise migration.",Migration architect,Accepted for assessment
A-003,Assumption,"PostgreSQL is the preferred managed DB target unless app-owner evidence shows MySQL is production-active.","inventory/database_inventory.csv",Medium,High,High,"Confirm active runtime profile and production DB engine before database migration design.",Database owner,Open
A-004,Assumption,"Maven and GitHub HTTPS flows are build-time dependencies, not production runtime dependencies.","inventory/egress_inventory.csv flows F004/F005",Medium,Medium,Medium,"Validate with runtime logs and CI/CD design; move build egress to pipeline environment.",Application lead,Open
R-001,Risk,"Active production database engine is unclear because H2, PostgreSQL and MySQL are all present.","inventory/database_inventory.csv",High,High,High,"Confirm active profile; capture runtime env vars; select one managed DB target; document fallback.",Database owner,Open
R-002,Risk,"Unknown inbound TCP 8443 may represent an undocumented endpoint or security exposure.","inventory/ingress_inventory.csv flow F008",Medium,High,High,"Validate firewall/load-balancer logs and app-owner knowledge before cutover.",Network/security owner,Open
R-003,Risk,"SMTP-like TCP 25 egress is observed but not explained by the source scan.","inventory/egress_inventory.csv flow F007",Medium,Medium,Medium,"Confirm whether email/integration exists; either migrate relay allowlist or retire the flow.",Application owner,Open
R-004,Risk,"Sample DB passwords and Kubernetes secret material exist in repo artifacts.","app_inventory.json secret hints; k8s/db.yml; docker-compose.yml",High,High,High,"Move secrets to Key Vault or approved secret store; prevent secrets in pipeline logs.",Security owner,Open
R-005,Risk,"Actuator endpoints are broadly exposed in development config.","src/main/resources/application.properties",Medium,High,High,"Restrict management endpoint exposure in target config and protect with identity/network controls.",Application lead,Open
R-006,Risk,"Build dependencies on Maven/GitHub may fail behind restricted enterprise egress controls.","inventory/egress_inventory.csv flows F004/F005",Medium,Medium,Medium,"Use approved artifact mirror, self-hosted agent or egress allowlist.",DevOps owner,Open
R-007,Risk,"Downtime tolerance and rollback window are not yet confirmed.","Module 3 planning gap",High,High,High,"Define business downtime window, DB cutover mode and rollback trigger in later runbook.",Release manager,Open
R-008,Risk,"Performance baseline is not yet established.","Module 1/2 evidence",Medium,Medium,Medium,"Add baseline response-time and resource measurements before target sizing.",Application lead,Open
R-009,Risk,"Full reengineering before cloud baseline would increase scope and delivery risk.","migration_decision_matrix.csv",Medium,High,High,"Defer full reengineering; limit rearchitecture to secrets/config/database externalization.",Migration architect,Mitigated by decision
R-010,Risk,"Container target is not yet production-hardened.","Module 3 target decision",Medium,High,High,"Add non-root image, health checks, scan gate, resource limits and observability in later modules.",Platform owner,Open
